type	AUC	LogCo
MSC	0.782947599880739	1.8
MSC	0.783903548002385	1.9
MSC	0.784963849135361	2
MSC	0.785960793082886	2.1
MSC	0.78720557543232	2.2
MSC	0.788487626714371	2.3
MSC	0.789721228384019	2.4
MSC	0.79104427549195	2.5
MSC	0.792559257602862	2.6
MSC	0.793817084078712	2.7
MSC	0.795255664877758	2.8
MSC	0.796800462134764	2.9
MSC	0.79823904293381	3
MSC	0.799502459749553	3.1
MSC	0.800898181276088	3.2
MSC	0.80226595110316	3.3
MSC	0.803264758497317	3.4
MSC	0.804218843172332	3.5
MSC	0.805008944543828	3.6
MSC	0.805513938580799	3.7
MSC	0.806078562909958	3.8
MSC	0.806594737626714	3.9
MSC	0.807232036374478	4
MSC	0.807267441860465	4.1
MSC	0.805981663685152	4.2
MSC	0.806024522957662	4.3
MSC	0.803234943351222	4.4
MSC	0.803631857483602	4.5
MSC	0.803328115682767	4.6
MSC	0.799135360763268	4.7
MSC	0.783992993440668	4.8
MSC	0.785498658318426	4.9
MSC	0.787697525342874	5
MSC	0.769659361955874	5.1
MSC	0.766357334525939	5.2
MSC	0.76946370005963	5.3
MSC	0.771545169946333	5.4
MSC	0.772204830053667	5.5
MSC	0.769346302921884	5.6
MSC	0.754746198568873	5.7
MSC	0.75700469588551	5.8
MSC	0.747514162194395	5.9
MSC	0.749332886106142	6
MSC	0.752439251639833	6.1
MSC	0.752251043530113	6.2
MSC	0.743597197376267	6.3
MSC	0.746170617173524	6.4
MSC	0.747270050685748	6.5
MSC	0.730398404889684	6.6
MSC	0.715779666070364	6.7
MSC	0.718492844364937	6.8
MSC	0.720576177698271	6.9
MSC	0.722117248062015	7
MSC	0.716791517590936	7.1
MSC	0.709442084078712	7.2
MSC	0.712019230769231	7.3
MSC	0.715388342277877	7.4
MSC	0.716774746571258	7.5
MSC	0.717574165175909	7.6
MSC	0.708735837805605	7.7
MSC	0.712263342277877	7.8
MSC	0.715349209898628	7.9
MSC	0.709257602862254	8
MSC	0.703115682766846	8.1
MSC	0.705582886106142	8.2
MSC	0.704925089445438	8.3
MSC	0.706009615384615	8.4
MSC	0.70719476744186	8.5
MSC	0.693997838401908	8.6
MSC	0.696573121645796	8.7
MSC	0.698695587358378	8.8
