id,dPC
1765,-3.19987962632514
1768,-3.2162682385586
1769,-2.50105819863312
1771,-3.8100614502985
1784,-1.59250762987653
1785,-5.70287784664255
1792,-3.42010041801296
1794,-5.28098392424222
1798,-3.89063947723618
1804,-4.59157531729013
1808,-4.79435948842878
1832,-3.11073581723456
1835,-2.199827446348
1845,-4.65717220583625
1846,-4.92378328333685
1857,-2.22558708898148
1886,-1.25002901959748
1887,-3.27852785376271
1909,-2.79146404451994
1914,-3.88553124811167
2054,0.656335262091566
2358,-3.90619509826932
2429,-1.23889582022083
3027,-4.05525480154418
3044,-3.1915455924594
3049,-1.56641758371182
3053,-4.53364072231539
3121,-4.07800751101412
3130,-0.11171874349709
3133,-2.57915562225745
3134,-2.99659486148246
3148,-1.71088976470525
3153,-2.88292691504728
3160,-3.8381654891978
3161,-4.52408656838832
3210,-3.56165085023274
3211,-2.80601895302687
3223,-2.38560366427749
3227,-2.56746048636612
3240,-4.55002852599429
3243,-3.25548831437219
3264,-2.9275408158262
3273,-4.13437428008608
3276,-3.80688295025981
3279,-1.80641743742299
3291,-2.92813506393129
3303,0.000568960404850757
3308,-2.27844958366133
3321,-3.20124574947598
3331,-3.21995142783887
3332,-3.09695582623378
3336,-2.22300729852472
3337,-3.03793946912722
3342,-2.4748045932324
3343,-3.01382572565966
3381,-2.91812832008433
3423,-3.67989585000445
3431,2.24557660237577
3441,4.77949599670789
3883,-0.906661344200038
3916,-1.5677421319427
3922,-0.879536137469419
3923,-3.16773652450409
3957,0.80614950930511
4001,-1.7480688419689
4008,-0.49312738062626
4011,1.80322371622966
4022,0.711074525607795
4038,0.0210165672718752
4043,-1.43025497415316
4044,-2.86904851007154
4094,0.766638696326356
4189,-3.16241334089275
4216,-0.750498392150599
4220,-0.998480186287341
4222,1.57114659400319
4223,1.22127929611256
4224,4.27734392214627
4225,0.212476703289014
4226,1.86630958442917
4228,2.86045362864606
4235,1.70874563132092
4239,3.28768821144171
4240,2.54809487584477
4241,1.72398645343531
4242,-1.07731676950076
4244,1.72501773745731
4248,1.33142441766315
4250,1.39518508340613
4259,1.0363994092169
4261,1.28544468998923
4267,3.6029264499134
4269,0.320463044456801
4279,4.25143370568056
4286,2.36875784154482
4289,2.64893260342727
4293,2.46973598627172
4298,3.30713056968326
4301,2.95009769293117
4312,2.99755388543554
4326,1.3408459921692
4329,4.02584992571244
4332,2.66379056178902
4342,5.97673045647155
4344,2.00603236972886
4345,3.66118526042985
4353,3.79063218705867
4357,1.0172052520802
4361,1.70069149715538
4365,2.59687677702796
4371,3.98016439375209
4374,0.495781128741317
4382,2.806783861998
4383,2.46850317798803
4387,4.62857961213443
4394,0.322111084335907
4404,0.199141923214258
4408,3.49941744913628
4413,1.55455737159922
4438,1.63113918758634
4439,0.444950890100339
4445,0.183889462573578
4466,-0.938523613633246
4470,-2.15654738196515
4503,-2.08015625538233
4504,-1.55490553995219
4516,-0.0635518102154543
4524,-1.15888056433189
4536,-3.67499016457631
4544,-2.37993282514904
4549,0.170961493727951
4565,1.63497400401377
4568,2.91807291024574
4570,2.30519959766555
4592,-2.64110834570531
4595,-3.64250524110483
4621,-3.41585605795987
4629,-2.00090375284465
4648,-1.35194495452628
4649,1.51991250556899
4650,0.388183799719292
4677,-2.66167374671237
4704,-1.28864263134326
4712,-0.347000623809838
4737,-1.11282009084065
4744,0.707658623444386
4745,1.56738869465686
4800,-3.14073934956946
4802,-0.120184442310332
4825,-2.73675908828392
4828,-4.94210007042009
4844,-2.82922845778412
4848,-0.714293497079197
4850,-1.82066964110958
4853,-0.535005957567163
4854,-0.55576875174876
4856,-2.40204748274213
4857,-1.64088380237214
4859,-2.08005345876011
4861,-0.826725420875091
4862,-1.69337725201435
4865,1.46039539240379
4866,0.609592587125568
4871,-1.20599910793628
4872,-1.81770515347655
4875,-2.31877091178316
4882,-0.675746924993063
4883,0.359459941591742
4888,-3.61521926807389
4891,-5.98750104464559
4924,-1.07755549001309
4930,1.03727725667737
4933,-0.894820272324134
4935,-1.7692339205614
4942,-1.11130629151318
4955,-2.92166029455978
4977,-0.256654907394925
4981,-2.46650502890353
4986,-1.13690127795303
4994,0.553343730013867
5002,0.48498470464584
5006,-0.456225518632202
5011,-0.997594073522647
5029,-2.2695953762454
5047,-0.0562571918476156
5063,0.137358121674055
5136,-3.39551641299032
5225,-0.225865166733665
5230,-2.52250352935829
5245,-0.987345902449343
5246,-2.58915336567088
5255,-1.6509782960246
5256,-1.10254407337775
5267,0.253127663116761
5268,-1.03646684026504
5279,-0.823027827701106
5285,-0.0959601346833426
5295,-0.27803541215452
5377,-1.71533623873157
5403,-2.80078596138722
5429,-2.6856959359379
5502,-3.85638129332036
5513,-2.56763249608456
5522,-2.11671203351913
5537,-0.503683306830206
5554,-3.21721596632154
5561,-2.40872501605922
5580,-0.977774969454139
5610,0.813673204148198
5625,-0.704026484880958
5651,0.332650343675713
5662,-0.381933546551661
5667,-1.51886924213203
5671,0.682747222945335
5770,-3.92436957489469
5858,-3.49525489679298
5863,-2.76758339031354
5871,-3.10953762154195
5876,-3.77919028236971
5890,-1.96149681464618
5893,-1.05901917961633
5896,-0.562206370072212
5899,-2.18139169153833
5901,-1.49858187983356
5924,-4.29358672078606
5932,-0.877659541258079
5934,-0.465182407128492
5935,-1.25274205552621
5938,0.854753412546662
5952,-2.46363858511163
