id,dPC
1081,-2.10872782202313
1087,-1.14716120346409
1090,-1.07713562633887
1094,-6.40489309326198
1100,-0.897556249164492
1101,0.75998937428969
1102,-1.38409141631672
1104,-0.192837166288806
1108,1.86418097285679
1112,-5.26919156696692
1113,-3.01033368142197
1114,0.777025202685014
1117,-3.31495478862094
1122,-1.5868581680179
1127,0.435029173665658
1131,3.05816201481924
1157,-2.53566465978301
1162,-2.47188225501346
1172,-6.83817283515609
1185,-1.51760113081177
1189,-12.2066337938103
1192,-9.97555089922497
1196,-2.29939630740451
1200,4.21420386337715
1204,1.41879059852056
1213,0.284084126579723
1229,-2.80850604289341
1230,-7.65875803182454
1231,0.928200864205538
1233,5.96952418463768
1237,4.92946357505859
1239,-7.15738315857653
1244,-9.8886386031899
1258,-5.09816245441116
1260,-8.23164378354878
1263,3.68107652551365
1272,4.90815573174462
1283,7.95853273694782
1287,-2.24059326382229
1354,5.72787895414934
1434,-4.13510230567351
1435,0.244722443774574
1451,-12.1661476883466
1453,-4.48222039968667
1493,-1.5346653228901
1519,-1.88315964128867
1522,-4.91320230585991
1529,0.671422254859278
1540,-0.509911118356786
1543,1.9311274332989
1544,-4.58975614042828
1546,-4.58766773455906
1567,1.96872311446771
1569,-1.62421838645614
1616,-2.13742105911107
1619,1.71166423527649
1624,-0.37391302644235
1626,-6.41529941400727
1629,1.98478317418853
1633,-5.12893406753219
1639,1.05180363921573
1644,-7.77304208120545
1646,2.64086555983149
1656,3.91635776164474
1670,-1.52089704550509
1680,-8.96649631428831
1686,3.50340792152986
1705,5.38890357067256
1706,11.145606190235
1711,2.09959593573371
1724,3.42474256207614
1729,-0.486547240930292
1758,5.77417240246747
1764,7.60492543289224
1765,8.35846382334445
1768,1.61300186293663
1769,6.45385391355532
1771,-6.63120431091681
1784,2.01647895732681
1785,9.63304568900598
1793,8.84034740507219
1794,8.3581327852433
1804,9.10255882869345
1807,4.09840051852461
1808,6.12420745758465
1812,8.96632526973049
1817,-3.32806385489056
1825,2.97696205860806
1832,-5.08460617855575
1835,9.0189858209913
1845,-1.57693966082934
1846,-2.57033203790517
1856,6.97274079535112
1857,-5.15253400644501
1886,5.51681270473
1887,-8.71092629274567
1904,2.83491869564378
1909,-12.9813832787395
2287,-3.1877195223256
2358,0.0744838405294459
2360,-18.7727602162589
2362,-4.53891711727168
2368,-8.84993644577919
2370,-11.3462289122463
2379,-6.26135483767882
2380,-11.3259578277209
2385,-3.05438342803287
2387,-4.3437380519209
2408,2.86944955745498
2431,2.41364168737039
2857,5.89443267769051
2903,6.51915492140051
2916,-0.893854684223951
2979,-0.232804399773247
2988,-11.5569132496455
3014,0.124304817030607
3018,-3.76327314543836
3025,-1.89732173841491
3027,-4.5229850341418
3039,-3.78187491518913
3048,-1.60225037394983
3053,-1.75556250164838
3060,2.40424181272654
3063,5.88912205082066
3095,3.5974078356775
3105,-0.826036270142724
3109,-0.276999670447042
3111,-2.19708180540371
3116,-11.3868679052325
3121,3.20481292519674
3130,-9.00758214272265
3133,4.15927545748945
3134,3.92185386225198
3135,0.871468025401466
3148,1.32940169514197
3151,8.59734330501363
3153,10.0031139520992
3160,6.95933351959311
3161,6.80091956483664
3166,1.21919836397492
3169,-0.288029501157496
3176,1.54834052807522
3196,0.490260927741055
3200,-0.100593546348307
3205,0.89087583960074
3206,1.75873122183731
3208,6.32823240915099
3210,0.721574730720263
3211,5.0605718861482
3212,8.94093546869697
3215,1.51802681409117
3223,-9.00053479296623
3227,-9.71990190694661
3238,8.91112759478007
3240,10.8347122918708
3241,10.6346376144306
3243,10.8924448329849
3250,10.2858871062942
3254,9.90943304776762
3258,15.0827068853001
3261,8.75574249119538
3264,8.69202882548242
3269,6.11571169142313
